 11 7180.123288 1.700E-29 1.265E+00.06170.195 4291.90970.55-.014410          2 0 0          0 0 0 17  7 10       17  6 11      434233817260713049   105.0  105.0
 11 7180.134903 1.300E-27 8.999E-01.07760.298 3224.54660.68-.000900          1 1 1          0 1 0 10  4  6       10  4  7      444223816594713152    63.0   63.0
 11 7180.143875 3.230E-29 5.594E-02.03850.235 3464.88740.45-.036690          1 0 1          0 0 0 13 10  4       14  8  7      434233817294713152    81.0   87.0
 13 7180.195500 2.810E-29 8.022E-01.07480.371 2266.15810.66-.005050          0 3 1          0 1 0  6  5  1        6  3  4      435253607094713152   234.0  234.0
 13 7180.204200 8.650E-29 1.309E+00.07180.265 2270.10710.670.005000          1 0 1          0 0 0 12  5  7       12  5  8      435253607094713152   450.0  450.0
 11 7180.221685 8.223E-28 5.183E-02.05630.315 2688.07980.48-.016830          0 1 2          0 1 0  8  2  7        9  1  8      434223817294713152    51.0   57.0
 11 7180.231230 1.011E-28 5.258E+00.09740.456 3887.11420.74-.005300          1 0 2          0 0 1  3  2  1        2  2  0      434233817294713152    21.0   15.0
 11 7180.260802 5.745E-30 3.112E+00.06750.333 4525.96410.57-.030270          0 0 3          1 0 0  7  2  6        8  2  7      332230837294713152    45.0   51.0
 13 7180.273500 5.600E-28 1.518E+01.08160.434 1902.15970.67-.009100          1 1 1          0 1 0  3  3  0        3  3  1      435253607094713159    42.0   42.0
 11 7180.274572 1.719E-29 1.071E-02.01040.183 3319.4476-.12-.013500          0 2 1          0 0 0 18  1 17       18  1 18      464233818394713152   111.0  111.0
 11 7180.323070 6.641E-26 3.551E-04.08710.352  704.21410.71-.000120          1 0 1          0 0 0  6  3  3        7  1  6      464223817294713152    39.0   45.0
 11 7180.328552 3.630E-25 8.509E-01.04780.298 2054.34520.47-.015200          0 0 2          0 0 0 10  6  5       10  7  4      454223816560713049    63.0   63.0
 12 7180.370842 6.034E-29 2.010E-02.05130.315 1794.38010.51-.014900          2 0 0          0 0 0 10  6  5        9  7  2      534233807260713049    63.0   57.0
 11 7180.391975 4.918E-29 1.260E-07.07810.371  552.91140.670.000000          2 0 0          0 0 0  6  2  5        6  2  5     q4322308079917122 0    39.0   39.0
 11 7180.396906 2.802E-29 1.465E-02.06620.333 2920.13200.59-.016150          2 1 0          0 1 0  9  4  6        8  5  3      434243817294713152    19.0   17.0
 11 7180.399332 5.560E-22 5.371E-01.09750.412  224.83840.74-.005400          2 0 0          0 0 0  3  2  1        4  1  4      456623816360713059    21.0   27.0
 12 7180.426206 4.316E-27 1.360E+01.09580.456 1735.43770.73-.008500          1 1 1          0 1 0  2  2  1        2  2  0      544643807294713159     5.0    5.0
 13 7180.489400 1.480E-25 1.080E+00.10010.490  141.90250.74-.003310          2 0 0          0 0 0  2  2  0        3  1  3      453354601882623034    30.0   42.0
 11 7180.491349 2.392E-28 4.722E-02.03690.281 2740.42090.53-.026630          1 2 0          0 0 0 10 10  0       11  9  3      464233818394713152    21.0   23.0
 11 7180.491349 7.177E-28 4.723E-02.03690.281 2740.42090.53-.026640          1 2 0          0 0 0 10 10  1       11  9  2      464223818394713152    63.0   69.0
