 14 2381.762764 2.978E-28 3.690E-02.04630.351 1433.57210.79-.008040          1 0 0          0 0 0  8  6  3        9  7  2      4622205041 7833348   102.0  114.0
 14 2381.763158 2.978E-28 3.690E-02.04650.351 1433.57190.79-.007940          1 0 0          0 0 0  8  6  2        9  7  3      4622205041 7833348   102.0  114.0
 21 2381.770058 1.312E-30 7.991E-03.06010.067 4172.28000.70-.004122       1 2 2 12       2 0 0 03                    R 64e     565553342910 9 711   131.0  129.0
 21 2381.800479 2.187E-25 2.117E+02.05650.063 3862.63680.61-.004602       0 1 1 11       0 1 1 01                    R 90f     575443342910 9 711   183.0  181.0
 23 2381.803927 1.893E-30 7.941E-03.06640.077 2720.89160.74-.002919       2 3 3 03       0 3 3 01                    P 44e     366563243210 9 711    87.0   89.0
 23 2381.804583 1.893E-30 7.941E-03.06640.077 2720.89180.74-.002919       2 3 3 03       0 3 3 01                    P 44f     366563243210 9 711    87.0   89.0
 21 2381.813648 1.884E-29 1.572E-05.07170.096 2112.96250.71-.002754       0 3 3 11       1 1 1 02                    Q 21e     666663342910 9 711    43.0   43.0
 21 2381.815505 4.640E-30 2.283E-02.05800.065 4154.88020.67-.003741       1 1 1 11       1 1 1 02                    P 75e     565553342910 9 711   149.0  151.0
 21 2381.815534 1.240E-29 9.408E-06.07420.101 2038.99840.69-.002576       0 3 3 11       1 1 1 02                    Q 16f     666663342910 9 711    33.0   33.0
 23 2381.865927 5.497E-30 2.322E-04.06880.088 1708.47150.74-.002613       3 0 0 04       1 0 0 01                    R 30e     366663243210 9 711    63.0   61.0
 21 2381.911030 2.983E-28 8.140E-02.06600.075 3467.25910.74-.003333       2 0 0 12       2 0 0 03                    P 48e     566563342910 9 711    95.0   97.0
 21 2381.925129 1.647E-29 1.297E-05.07260.098 2080.93170.70-.002686       0 3 3 11       1 1 1 02                    Q 19e     666663342910 9 711    39.0   39.0
 21 2381.958462 9.404E-30 7.216E-06.07550.103 2014.71830.68-.002496       0 3 3 11       1 1 1 02                    Q 14f     666663342910 9 711    29.0   29.0
 21 2381.973170 1.333E-28 7.158E-03.06770.084 3078.62740.74-.002085       3 1 1 01       1 2 2 02                    R 35f     566663342910 9 711    73.0   71.0
